trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
35,2026-03-23 20:30:00,4461.77,2026-03-23 21:00:00,4423.526,SHORT,A,17.74,-1.54,11.47,TP(leg A)
36,2026-03-23 20:30:00,4461.77,2026-03-23 21:00:00,4412.053,SHORT,B,17.74,-1.54,14.92,TP(fixed)
37,2026-03-26 16:45:00,4464.96,2026-03-26 17:30:00,4445.291,SHORT,A,8.45,-1.35,5.9,TP(leg A)
38,2026-03-26 16:45:00,4464.96,2026-03-26 17:30:00,4439.391,SHORT,B,8.45,-1.35,7.67,TP(fixed)
39,2026-03-27 14:45:00,4438.08,2026-03-27 15:00:00,4426.341,SHORT,A,4.27,-2.21,3.52,TP(leg A)
40,2026-03-27 14:45:00,4438.08,2026-03-27 15:15:00,4422.819,SHORT,B,5.87,-2.21,4.58,TP(fixed)
41,2026-04-08 17:45:00,4736.4,2026-04-08 17:45:00,4753.819,LONG,A,8.67,-1.29,5.23,TP(leg A)
42,2026-04-08 17:45:00,4736.4,2026-04-08 17:45:00,4759.045,LONG,B,8.67,-1.29,6.79,TP(fixed)
43,2026-04-15 18:15:00,4797.93,2026-04-15 18:15:00,4807.527,LONG,A,3.61,-0.33,2.88,TP(leg A)
44,2026-04-15 18:15:00,4797.93,2026-04-15 19:15:00,4810.406,LONG,B,4.46,-3.62,3.74,TP(fixed)
45,2026-04-16 13:00:00,4807.44,2026-04-16 13:00:00,4814.971,LONG,A,2.41,-0.15,2.26,TP(leg A)
46,2026-04-16 13:15:00,4807.33,2026-04-16 13:15:00,4809.717,LONG,C,0.81,-0.67,0.72,TP(fixed)
47,2026-04-16 13:00:00,4807.44,2026-04-16 14:00:00,4817.23,LONG,B,3.97,-0.75,2.94,TP(fixed)
48,2026-04-16 17:30:00,4787.5,2026-04-16 17:30:00,4799.1,LONG,A,3.9,-4.54,3.48,TP(leg A)
49,2026-04-16 17:45:00,4788.99,2026-04-16 17:45:00,4785.301,LONG,C,1.3,-1.13,-1.11,SL
50,2026-04-16 17:30:00,4787.5,2026-04-16 18:00:00,4802.58,LONG,B,7.6,-4.54,4.52,TP(fixed)
51,2026-04-20 16:15:00,4824.12,2026-04-20 16:15:00,4814.471,SHORT,A,3.64,-0.41,2.89,TP(leg A)
52,2026-04-20 16:30:00,4822.32,2026-04-20 16:30:00,4825.873,SHORT,C,1.95,-1.16,-1.07,SL
53,2026-04-20 16:15:00,4824.12,2026-04-20 17:00:00,4811.576,SHORT,B,5.24,-0.62,3.76,TP(fixed)
54,2026-04-23 15:30:00,4739.79,2026-04-23 16:00:00,4729.955,SHORT,A,4.5,-1.06,2.95,TP(leg A)
55,2026-04-23 15:30:00,4739.79,2026-04-23 16:00:00,4727.004,SHORT,B,4.5,-1.06,3.84,TP(fixed)
56,2026-05-01 15:15:00,4602.6,2026-05-01 15:15:00,4593.307,SHORT,A,6.08,-1.39,2.79,TP(leg A)
57,2026-05-01 15:15:00,4602.6,2026-05-01 15:15:00,4590.519,SHORT,B,6.08,-1.39,3.62,TP(fixed)
