timeframe,strategy_name,exit_model,filter_preset,experiment_name,segment,split_time,row_count,base_candidate_count,accepted_candidate_count,candidate_acceptance_rate,trade_count,net_profit,profit_per_trade,profit_factor,win_rate,sharpe,sortino,max_drawdown,ending_balance,dominant_hour_trade_share,top_three_hours_trade_share,dominant_hour_pnl_share
M15,trend_pullback,fixed_tp,balanced,volume_atr,IS,2025-07-23 11:15:00,96007,11110,4824,0.4342034203420342,24,-534.840497130408,-22.285020713767,0.36279799537696805,0.125,-2.1903244674903104,-7.426363041053383,36.72931905994348,965.159502869592,0.25,0.5,0.6636810489414278
M15,trend_pullback,fixed_tp,balanced,adaptive_quality,IS,2025-07-23 11:15:00,96007,11110,1547,0.13924392439243924,30,-519.2767704451808,-17.309225681506025,0.4127589804489066,0.16666666666666666,-2.1963769391307126,-10.290939723330304,38.95747164609746,980.7232295548192,0.2,0.5333333333333333,0.5966527130013018
M15,trend_pullback,fixed_tp,balanced,session_plus_adaptive,IS,2025-07-23 11:15:00,96007,11110,1328,0.11953195319531953,36,-567.8962031310766,-15.774894531418795,0.4396934497763069,0.19444444444444445,-2.2598057378699363,-9.988565921787286,41.98365988029138,932.1037968689234,0.2222222222222222,0.5,0.44129267939010486
M15,trend_pullback,fixed_tp,balanced,baseline_all_day,OOS,2025-07-23 11:15:00,24002,3092,3092,1.0,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,balanced,session_only,OOS,2025-07-23 11:15:00,24002,3092,1841,0.5954075032341527,6,-635.8478398258922,-105.97463997098203,0.0,0.0,-22.68295754114465,-22.68295754114465,42.38985598839281,864.1521601741078,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,balanced,volume_only,OOS,2025-07-23 11:15:00,24002,3092,1701,0.5501293661060802,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,balanced,atr_only,OOS,2025-07-23 11:15:00,24002,3092,2381,0.7700517464424321,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,balanced,adx_only,OOS,2025-07-23 11:15:00,24002,3092,828,0.2677878395860285,6,-551.4016161796098,-91.90026936326831,0.0,0.0,-46.22441761860068,-46.22441761860068,36.76010774530732,948.5983838203902,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,balanced,volume_atr,OOS,2025-07-23 11:15:00,24002,3092,1520,0.49159120310478654,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,balanced,adaptive_quality,OOS,2025-07-23 11:15:00,24002,3092,403,0.13033635187580853,6,-552.3467678337329,-92.05779463895549,0.0,0.0,-45.48347172279522,-45.48347172279522,36.8231178555822,947.6532321662671,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,balanced,session_plus_adaptive,OOS,2025-07-23 11:15:00,24002,3092,294,0.09508408796895214,6,-521.2853120467298,-86.88088534112164,0.0,0.0,-37.180012757434625,-37.180012757434625,34.75235413644865,978.7146879532702,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,strict,baseline_all_day,IS,2025-07-23 11:15:00,96007,11110,11110,1.0,90,-532.6892944704377,-5.91876993856042,0.6153447941074487,0.4111111111111111,-2.046216584496111,-5.79687844352227,44.52913323825891,967.3107055295623,0.13333333333333333,0.3111111111111111,0.25827330179988056
M15,trend_pullback,fixed_tp,strict,session_only,IS,2025-07-23 11:15:00,96007,11110,6736,0.6063006300630063,88,-501.23821777699504,-5.695888838374944,0.6604095746183745,0.3522727272727273,-1.7218540152763855,-5.229503406839499,42.27267290661452,998.761782223005,0.14772727272727273,0.38636363636363635,0.264650296889477
M15,trend_pullback,fixed_tp,strict,volume_only,IS,2025-07-23 11:15:00,96007,11110,4001,0.36012601260126015,41,-575.8852296343002,-14.04598121059269,0.47837148688627784,0.21951219512195122,-2.2071006495647825,-12.11662774382606,45.28914528394903,924.1147703656998,0.3902439024390244,0.5853658536585366,0.37756318741554573
M15,trend_pullback,fixed_tp,strict,atr_only,IS,2025-07-23 11:15:00,96007,11110,5643,0.5079207920792079,56,-520.3637705892606,-9.29221018909394,0.5319438798431175,0.35714285714285715,-2.170637060530095,-8.282332590401655,40.39663787093684,979.6362294107394,0.125,0.3392857142857143,0.258150765504384
M15,trend_pullback,fixed_tp,strict,adx_only,IS,2025-07-23 11:15:00,96007,11110,2125,0.19126912691269127,39,-517.805940283074,-13.277075391873694,0.4431534057168954,0.1794871794871795,-2.155839558294304,-6.492046097135365,35.933549735774655,982.194059716926,0.15384615384615385,0.41025641025641024,0.5654015575424873
M15,trend_pullback,fixed_tp,strict,volume_atr,IS,2025-07-23 11:15:00,96007,11110,2764,0.24878487848784878,35,-526.6685780194666,-15.047673657699047,0.5138852132463139,0.17142857142857143,-1.7562244171556667,-9.379139940403979,41.74741519669702,973.3314219805334,0.34285714285714286,0.6285714285714286,0.5143327380824494
M15,trend_pullback,fixed_tp,strict,adaptive_quality,IS,2025-07-23 11:15:00,96007,11110,611,0.054995499549954995,31,-566.7614117365656,-18.282626185050503,0.4221046030827908,0.16129032258064516,-2.2120999546441964,-9.960824612933477,42.768508171385946,933.2385882634344,0.25806451612903225,0.5806451612903226,0.40665782399970873
M15,trend_pullback,fixed_tp,strict,session_plus_adaptive,IS,2025-07-23 11:15:00,96007,11110,528,0.047524752475247525,26,-575.7454859652898,-22.14405715251115,0.3678153648772768,0.15384615384615385,-2.406134303243025,-11.168947791671757,42.472217768517154,924.2545140347102,0.3076923076923077,0.6153846153846154,0.6368208528145065
M15,trend_pullback,fixed_tp,strict,baseline_all_day,OOS,2025-07-23 11:15:00,24002,3092,3092,1.0,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,strict,session_only,OOS,2025-07-23 11:15:00,24002,3092,1841,0.5954075032341527,6,-635.8478398258922,-105.97463997098203,0.0,0.0,-22.68295754114465,-22.68295754114465,42.38985598839281,864.1521601741078,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,strict,volume_only,OOS,2025-07-23 11:15:00,24002,3092,1197,0.3871280724450194,6,-583.6031177509904,-97.26718629183172,0.0,0.0,-23.55089185525973,-23.55089185525973,38.90687451673269,916.3968822490096,0.6666666666666666,1.0,
M15,trend_pullback,fixed_tp,strict,atr_only,OOS,2025-07-23 11:15:00,24002,3092,1904,0.6157826649417852,205,12733.167523688126,62.11301231067378,3.528849163163922,0.4195121951219512,0.9622323256598584,40.24652511151965,55.672446173233105,14233.167523688126,0.11219512195121951,0.25853658536585367,0.9350527434539112
M15,trend_pullback,fixed_tp,strict,adx_only,OOS,2025-07-23 11:15:00,24002,3092,572,0.18499353169469598,6,-531.7696717505532,-88.62827862509221,0.0,0.0,-48.41027405771971,-48.41027405771971,35.45131145003688,968.2303282494468,0.3333333333333333,1.0,
M15,trend_pullback,fixed_tp,strict,volume_atr,OOS,2025-07-23 11:15:00,24002,3092,923,0.2985122897800776,31,-611.3254409883211,-19.720175515752295,0.5107119324810167,0.3548387096774194,-1.5838260454566557,-3.5282624430862763,40.75502939922141,888.6745590116789,0.12903225806451613,0.3548387096774194,0.3697347694855297
M15,trend_pullback,fixed_tp,strict,adaptive_quality,OOS,2025-07-23 11:15:00,24002,3092,187,0.06047865459249677,10,-594.7555714450482,-59.47555714450482,0.2402319685047501,0.1,-2.2243651646120552,-9.657956939402425,39.65037142966988,905.2444285549518,0.2,0.6,1.0
M15,trend_pullback,fixed_tp,strict,session_plus_adaptive,OOS,2025-07-23 11:15:00,24002,3092,140,0.045278137128072445,12,-625.4542510543342,-52.121187587861186,0.23116656352548345,0.08333333333333333,-2.460574733219699,-14.595630720009424,41.69695007028895,874.5457489456658,0.3333333333333333,0.6666666666666666,1.0
M5,trend_pullback,fixed_tp_plus_mr,loose,baseline_all_day,IS,2025-07-23 07:55:00,287744,34078,34078,1.0,284,-525.226420392155,-1.8493888041977289,0.7828531546258195,0.528169014084507,-1.7641024518701791,-3.2113143354871725,51.297499814581215,974.773579607845,0.09859154929577464,0.24295774647887325,0.20409882430051712
M5,trend_pullback,fixed_tp_plus_mr,loose,session_only,IS,2025-07-23 07:55:00,287744,34078,19770,0.5801396795586595,228,-528.8611874993967,-2.319566611839459,0.7673573411649997,0.5043859649122807,-1.7215048973743354,-3.678920838058855,47.32561835557306,971.1388125006033,0.14035087719298245,0.36403508771929827,0.4301652530060287
M5,trend_pullback,fixed_tp_plus_mr,loose,volume_only,IS,2025-07-23 07:55:00,287744,34078,20881,0.6127413580609191,38,32986.5265041796,868.0664869520948,46.36335537617823,0.3157894736842105,0.997784192116011,421.5026481419106,33.53823305469298,34486.5265041796,0.18421052631578946,0.5263157894736842,0.9988900475714486
M5,trend_pullback,fixed_tp_plus_mr,loose,atr_only,IS,2025-07-23 07:55:00,287744,34078,26344,0.7730500616233347,212,-538.5506908865591,-2.5403334475781087,0.728493856989753,0.5047169811320755,-1.9562205016581526,-3.536812744320014,49.08296200046803,961.4493091134409,0.12264150943396226,0.29245283018867924,0.15983974822831118
