entry_hour,trades,net_pnl_cents,mean_pnl_cents,win_rate,timeframe,filter_preset,segment,experiment_name
14,14,-11.567577612122477,-0.8262555437230341,0.42857142857142855,M15,loose,IS,adx_only
15,3,-41.74658644426927,-13.915528814756422,0.0,M15,loose,IS,adx_only
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,loose,IS,adx_only
17,5,27.03787653190375,5.40757530638075,0.4,M15,loose,IS,adx_only
18,3,7.343016813674694,2.447672271224898,0.3333333333333333,M15,loose,IS,adx_only
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,loose,IS,adx_only
20,5,-177.17588436642473,-35.435176873284945,0.0,M15,loose,IS,adx_only
21,3,-3.231033621318602,-1.0770112071062006,0.3333333333333333,M15,loose,IS,adx_only
22,3,-30.144828191760098,-10.048276063920033,0.0,M15,loose,IS,adx_only
23,1,-8.314238367261169,-8.314238367261169,0.0,M15,loose,IS,adx_only
2,2,4.10597651279204,2.05298825639602,0.5,M15,loose,IS,volume_atr
3,4,-12.7163964884312,-3.1790991221078,0.25,M15,loose,IS,volume_atr
4,3,-29.631403327912267,-9.877134442637422,0.0,M15,loose,IS,volume_atr
5,1,-10.215767404852159,-10.215767404852159,0.0,M15,loose,IS,volume_atr
6,1,-9.543249266930616,-9.543249266930616,0.0,M15,loose,IS,volume_atr
7,3,-29.26066999624254,-9.75355666541418,0.0,M15,loose,IS,volume_atr
8,4,-14.99300179009424,-3.74825044752356,0.25,M15,loose,IS,volume_atr
9,3,-3.6223181483637745,-1.2074393827879248,0.3333333333333333,M15,loose,IS,volume_atr
10,9,33387.01036006539,3709.667817785043,0.4444444444444444,M15,loose,IS,volume_atr
11,4,-62.5455515835165,-15.636387895879125,0.25,M15,loose,IS,volume_atr
12,4,-61.715741692778465,-15.428935423194616,0.25,M15,loose,IS,volume_atr
13,10,-124.48002338835522,-12.448002338835522,0.2,M15,loose,IS,volume_atr
14,8,-23.252443820756525,-2.9065554775945657,0.375,M15,loose,IS,volume_atr
15,4,-55.44668515647572,-13.86167128911893,0.0,M15,loose,IS,volume_atr
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,loose,IS,volume_atr
17,2,66.56520802077011,33.28260401038506,1.0,M15,loose,IS,volume_atr
18,1,31.626107713836973,31.626107713836973,1.0,M15,loose,IS,volume_atr
19,1,-14.096942376772859,-14.096942376772859,0.0,M15,loose,IS,volume_atr
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,loose,IS,volume_atr
21,1,-9.292921796345581,-9.292921796345581,0.0,M15,loose,IS,volume_atr
2,2,4.10597651279204,2.05298825639602,0.5,M15,loose,IS,adaptive_quality
3,6,-35.6332917545069,-5.938881959084483,0.16666666666666666,M15,loose,IS,adaptive_quality
4,4,-15.647500960349134,-3.9118752400872836,0.25,M15,loose,IS,adaptive_quality
5,1,-10.215767404852159,-10.215767404852159,0.0,M15,loose,IS,adaptive_quality
6,2,-18.72074816055374,-9.36037408027687,0.0,M15,loose,IS,adaptive_quality
7,2,-19.589790070713207,-9.794895035356603,0.0,M15,loose,IS,adaptive_quality
8,4,-14.99300179009424,-3.74825044752356,0.25,M15,loose,IS,adaptive_quality
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,loose,IS,adaptive_quality
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,loose,IS,adaptive_quality
11,4,-62.5455515835165,-15.636387895879125,0.25,M15,loose,IS,adaptive_quality
12,5,-46.110650651689866,-9.222130130337973,0.4,M15,loose,IS,adaptive_quality
13,11,-134.12192645988398,-12.192902405443999,0.18181818181818182,M15,loose,IS,adaptive_quality
14,8,-23.252443820756525,-2.9065554775945657,0.375,M15,loose,IS,adaptive_quality
15,3,-41.74658644426927,-13.915528814756422,0.0,M15,loose,IS,adaptive_quality
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,loose,IS,adaptive_quality
17,2,66.56520802077011,33.28260401038506,1.0,M15,loose,IS,adaptive_quality
18,1,31.626107713836973,31.626107713836973,1.0,M15,loose,IS,adaptive_quality
19,1,-14.096942376772859,-14.096942376772859,0.0,M15,loose,IS,adaptive_quality
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,loose,IS,adaptive_quality
21,1,-9.292921796345581,-9.292921796345581,0.0,M15,loose,IS,adaptive_quality
7,2,-19.589790070713207,-9.794895035356603,0.0,M15,loose,IS,session_plus_adaptive
8,5,-23.283256248346333,-4.656651249669267,0.2,M15,loose,IS,session_plus_adaptive
9,4,-12.944088624435608,-3.236022156108902,0.25,M15,loose,IS,session_plus_adaptive
10,11,33392.69021833222,3035.699110757475,0.45454545454545453,M15,loose,IS,session_plus_adaptive
11,8,-52.57263948411946,-6.571579935514933,0.375,M15,loose,IS,session_plus_adaptive
12,5,-46.110650651689866,-9.222130130337973,0.4,M15,loose,IS,session_plus_adaptive
13,13,-153.86077585696512,-11.835444296689625,0.15384615384615385,M15,loose,IS,session_plus_adaptive
14,8,-23.252443820756525,-2.9065554775945657,0.375,M15,loose,IS,session_plus_adaptive
15,3,-41.74658644426927,-13.915528814756422,0.0,M15,loose,IS,session_plus_adaptive
16,2,-32.388249317464215,-16.194124658732107,0.0,M15,loose,IS,session_plus_adaptive
17,5,27.03787653190375,5.40757530638075,0.4,M15,loose,IS,session_plus_adaptive
