timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,1825,1.0,0.667945205479452,1.0,0.0,0.9534246575342467,0.2551581843191197,0.6648764673738954,trend_pullback,fixed_tp,b2b54ad0998b
M15,2102,1.0,0.6717411988582302,1.0,0.0,0.9562321598477641,0.25642558278541544,0.666246901166623,trend_pullback,fixed_tp,36a1e9057118
M15,1976,1.0,0.6811740890688259,1.0,0.0,0.9595141700404859,0.2522179974651457,0.66799464293961,trend_pullback,fixed_tp,aeb20685ff76
M15,4730,1.0,0.6219873150105708,1.0,0.0,0.970401691331924,0.23530948028205798,0.6552541387442115,trend_pullback,fixed_tp,a2450a1163e5
M15,1278,1.0,0.6721439749608764,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6640520930567626,trend_pullback,fixed_tp,61d4024bf13c
M15,1825,1.0,0.5452054794520548,1.0,0.0,0.9534246575342467,0.2551581843191197,0.640328522168416,trend_pullback,fixed_tp,484feaef0e25
M15,2622,1.0,0.61441647597254,1.0,0.0,0.9626239511823036,0.22867853795688847,0.6515786685653868,trend_pullback,fixed_tp,7308946b0abb
M15,4416,1.0,0.6102807971014492,1.0,0.0,0.9705615942028984,0.23420905533817776,0.6527717568514513,trend_pullback,fixed_tp,4f9bb86d826d
M15,5387,1.0,0.6185260813068498,1.0,0.0,0.9723408204937813,0.2344179651695692,0.6547190341108726,trend_pullback,fixed_tp,1656e2ebc011
M15,1138,1.0,0.6827768014059754,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6664473499623957,trend_pullback,fixed_tp,065da0462505
M15,1278,1.0,0.6885758998435054,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6673384780332885,trend_pullback,fixed_tp,5dcf076bdae9
M15,3383,1.0,0.6361217853975761,1.0,0.0,0.9902453443689034,0.25435669262143124,0.6639146626280655,trend_pullback,fixed_tp,28073a265d37
M15,3785,1.0,0.607661822985469,1.0,0.0,0.9706737120211362,0.22730220492866407,0.6512287521395638,trend_pullback,fixed_tp,920158c4b770
M15,4118,1.0,0.6172899465760078,1.0,0.0,0.9655172413793103,0.22742175856929955,0.652398839307493,trend_pullback,fixed_tp,3efa32aaee07
M15,4730,1.0,0.6338266384778013,1.0,0.0,0.970401691331924,0.23530948028205798,0.6576220034376574,trend_pullback,fixed_tp,197b90822311
M15,5194,1.0,0.6199460916442049,1.0,0.0,0.9715055833654216,0.23490252020922492,0.654950433865038,trend_pullback,fixed_tp,00124eac4f47
M15,3876,1.0,0.6400928792569659,1.0,0.0,0.9855521155830753,0.2551813471502591,0.6641285952613933,trend_pullback,fixed_tp,ed8fbb3e0ece
M15,3209,1.0,0.6313493300093487,1.0,0.0,0.9884699283265814,0.2520483808037456,0.6623476123714188,trend_pullback,fixed_tp,a7d9fad55366
M15,1976,1.0,0.7049595141700404,1.0,0.0,0.9595141700404859,0.2522179974651457,0.6727517279598528,trend_pullback,fixed_tp,cda3c41d60c8
M15,1825,1.0,0.6904109589041096,1.0,0.0,0.9534246575342467,0.2551581843191197,0.6693696180588269,trend_pullback,fixed_tp,41be09c64728
M15,2449,1.0,0.7019191506737444,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6724081634963104,trend_pullback,fixed_tp,e6023af5e454
M15,5387,1.0,0.6287358455541118,1.0,0.0,0.9723408204937813,0.2344179651695692,0.656760986960325,trend_pullback,fixed_tp,36038edcf02a
M15,1138,1.0,0.5456942003514939,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6390308297514993,trend_pullback,fixed_tp,f3d0aaf1f16e
M15,1916,1.0,0.6372651356993737,1.0,0.0,0.9968684759916493,0.24820846905537458,0.6642145688969284,trend_pullback,fixed_tp,0b9b5d5f781b
M15,2622,1.0,0.618230358504958,1.0,0.0,0.9626239511823036,0.22867853795688847,0.6523414450718704,trend_pullback,fixed_tp,ac5c78244948
M15,1278,1.0,0.6737089201877934,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6643650821021461,trend_pullback,fixed_tp,b077389d6995
M15,5387,1.0,0.6270651568591052,1.0,0.0,0.9723408204937813,0.2344179651695692,0.6564268492213237,trend_pullback,fixed_tp,12650ede045d
M15,2533,1.0,0.6774575602052901,1.0,0.0,0.957757599684169,0.2576961271102284,0.6678095710602175,trend_pullback,fixed_tp,9c812da77d12
M15,5194,1.0,0.6289949942241048,1.0,0.0,0.9715055833654216,0.23490252020922492,0.6567602143810181,trend_pullback,fixed_tp,c5538ea90a96
M15,2247,1.0,0.6866933689363596,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6698482012348429,trend_pullback,fixed_tp,f8081118c3c4
M15,3209,1.0,0.6378934247429106,1.0,0.0,0.9884699283265814,0.2520483808037456,0.6636564313181312,trend_pullback,fixed_tp,17d490e4c223
M15,4730,1.0,0.6281183932346723,1.0,0.0,0.970401691331924,0.23530948028205798,0.6564803543890316,trend_pullback,fixed_tp,2dc4c276bffe
M15,1138,1.0,0.6862917398945518,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6671503376601109,trend_pullback,fixed_tp,0b4cf9d2366e
M15,7009,1.0,0.5803966329005564,1.0,0.0,0.9664716792695107,0.23072870939420545,0.6456593848796688,trend_pullback,fixed_tp,1d3cd947a2f9
M15,2102,1.0,0.6788772597526166,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6676741133455002,trend_pullback,fixed_tp,5cab575167b7
M15,2449,1.0,0.6798693344222132,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6679982002460041,trend_pullback,fixed_tp,6ebb5c8e09fe
M15,1976,1.0,0.6862348178137652,1.0,0.0,0.9595141700404859,0.2522179974651457,0.6690067886885979,trend_pullback,fixed_tp,0e3622336cbf
M15,1138,1.0,0.6845342706502636,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6667988438112533,trend_pullback,fixed_tp,f2800a9295bd
M15,5194,1.0,0.626877165960724,1.0,0.0,0.9715055833654216,0.23490252020922492,0.6563366487283419,trend_pullback,fixed_tp,90ca794679d5
M15,4416,1.0,0.6159420289855072,1.0,0.0,0.9705615942028984,0.23420905533817776,0.6539040032282628,trend_pullback,fixed_tp,978e1f9fc3d9
M15,4118,1.0,0.624817872753764,1.0,0.0,0.9655172413793103,0.22742175856929955,0.6539044245430442,trend_pullback,fixed_tp,9d29b7a3aecd
M15,1916,1.0,0.6471816283924844,1.0,0.0,0.9968684759916493,0.24820846905537458,0.6661978674355505,trend_pullback,fixed_tp,98b5b9bd17b2
M15,4730,1.0,0.6718816067653277,1.0,0.0,0.970401691331924,0.23530948028205798,0.6652329970951627,trend_pullback,fixed_tp,ed1de64d1acc
M15,5655,1.0,0.5658709106984969,1.0,0.0,0.9612732095490717,0.2274799218580421,0.6414871518507664,trend_pullback,fixed_tp,436b80a0b941
M15,2622,1.0,0.6609458428680397,1.0,0.0,0.9626239511823036,0.22867853795688847,0.6608845419444868,trend_pullback,fixed_tp,f69e17c44e31
M15,3865,1.0,0.5834411384217335,1.0,0.0,0.9552393272962483,0.22348844571066792,0.6434973936353842,trend_pullback,fixed_tp,024391f15c44
