Candidate ID,Timestamp,Strategy,Session Decision,TBM Decision,HMM State,HMM Decision,XGBoost Probability,Threshold,Risk Decision,Final Rejection Stage,Rejection Reason
006364c62262ab27,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
97596b9217ce2bd4,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
92e6ee7788787efc,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
33b883067a1b2b58,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d145dd5674c9894c,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
3b510d396ca93699,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
2e979ad5a98de251,2026-07-14T09:20:41.005777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
80f6603310b814e1,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
035aff8662a4a09f,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
9908bb8ae3a733ff,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
23f2eeff6445861a,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
